numeroMsgsEntreAeB=0 primeiraPalavraA=clar ultimaPalavraA=bow primeiraPalavraB=blz ultimaPalavraB=la mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=part ultimaPalavraA=hoj primeiraPalavraB=blz ultimaPalavraB=la mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=otim ultimaPalavraA=otim primeiraPalavraB=blz ultimaPalavraB=la mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=ola ultimaPalavraA=bom primeiraPalavraB=blz ultimaPalavraB=la mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=amiga ultimaPalavraA=amiga primeiraPalavraB=amiga ultimaPalavraB=amiga mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=oiee ultimaPalavraA=oiee primeiraPalavraB=oiee ultimaPalavraB=oiee mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=0 primeiraPalavraA=amiga ultimaPalavraA=amiga primeiraPalavraB=oiee ultimaPalavraB=oiee mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=consegu ultimaPalavraA=exercici primeiraPalavraB=consegu ultimaPalavraB=exercici mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=0 primeiraPalavraA=oiee ultimaPalavraA=oiee primeiraPalavraB=consegu ultimaPalavraB=exercici mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=amiga ultimaPalavraA=amiga primeiraPalavraB=consegu ultimaPalavraB=exercici mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=q ultimaPalavraA=exercici primeiraPalavraB=q ultimaPalavraB=exercici mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=0 primeiraPalavraA=consegu ultimaPalavraA=exercici primeiraPalavraB=q ultimaPalavraB=exercici mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=oiee ultimaPalavraA=oiee primeiraPalavraB=q ultimaPalavraB=exercici mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=amiga ultimaPalavraA=amiga primeiraPalavraB=q ultimaPalavraB=exercici mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=2 ultimaPalavraA=2 primeiraPalavraB=2 ultimaPalavraB=2 mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=0 primeiraPalavraA=q ultimaPalavraA=exercici primeiraPalavraB=2 ultimaPalavraB=2 mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=consegu ultimaPalavraA=exercici primeiraPalavraB=2 ultimaPalavraB=2 mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=oiee ultimaPalavraA=oiee primeiraPalavraB=2 ultimaPalavraB=2 mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=amiga ultimaPalavraA=amiga primeiraPalavraB=2 ultimaPalavraB=2 mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=fiz ultimaPalavraA=jah primeiraPalavraB=fiz ultimaPalavraB=jah mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=0 primeiraPalavraA=2 ultimaPalavraA=2 primeiraPalavraB=fiz ultimaPalavraB=jah mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=q ultimaPalavraA=exercici primeiraPalavraB=fiz ultimaPalavraB=jah mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=2 primeiraPalavraA=consegu ultimaPalavraA=exercici primeiraPalavraB=fiz ultimaPalavraB=jah mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=oiee ultimaPalavraA=oiee primeiraPalavraB=fiz ultimaPalavraB=jah mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=4 primeiraPalavraA=amiga ultimaPalavraA=amiga primeiraPalavraB=fiz ultimaPalavraB=jah mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=po ultimaPalavraA=ordem primeiraPalavraB=po ultimaPalavraB=ordem mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=0 primeiraPalavraA=fiz ultimaPalavraA=jah primeiraPalavraB=po ultimaPalavraB=ordem mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=2 ultimaPalavraA=2 primeiraPalavraB=po ultimaPalavraB=ordem mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=q ultimaPalavraA=exercici primeiraPalavraB=po ultimaPalavraB=ordem mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=consegu ultimaPalavraA=exercici primeiraPalavraB=po ultimaPalavraB=ordem mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=4 primeiraPalavraA=oiee ultimaPalavraA=oiee primeiraPalavraB=po ultimaPalavraB=ordem mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=5 primeiraPalavraA=amiga ultimaPalavraA=amiga primeiraPalavraB=po ultimaPalavraB=ordem mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=eu ultimaPalavraA=junt primeiraPalavraB=eu ultimaPalavraB=junt mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=0 primeiraPalavraA=po ultimaPalavraA=ordem primeiraPalavraB=eu ultimaPalavraB=junt mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=fiz ultimaPalavraA=jah primeiraPalavraB=eu ultimaPalavraB=junt mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=2 ultimaPalavraA=2 primeiraPalavraB=eu ultimaPalavraB=junt mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=q ultimaPalavraA=exercici primeiraPalavraB=eu ultimaPalavraB=junt mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=4 primeiraPalavraA=consegu ultimaPalavraA=exercici primeiraPalavraB=eu ultimaPalavraB=junt mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=5 primeiraPalavraA=oiee ultimaPalavraA=oiee primeiraPalavraB=eu ultimaPalavraB=junt mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=6 primeiraPalavraA=amiga ultimaPalavraA=amiga primeiraPalavraB=eu ultimaPalavraB=junt mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=entend ultimaPalavraA=3 primeiraPalavraB=entend ultimaPalavraB=3 mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=0 primeiraPalavraA=eu ultimaPalavraA=junt primeiraPalavraB=entend ultimaPalavraB=3 mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=po ultimaPalavraA=ordem primeiraPalavraB=entend ultimaPalavraB=3 mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=fiz ultimaPalavraA=jah primeiraPalavraB=entend ultimaPalavraB=3 mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=2 ultimaPalavraA=2 primeiraPalavraB=entend ultimaPalavraB=3 mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=4 primeiraPalavraA=q ultimaPalavraA=exercici primeiraPalavraB=entend ultimaPalavraB=3 mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=5 primeiraPalavraA=consegu ultimaPalavraA=exercici primeiraPalavraB=entend ultimaPalavraB=3 mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=6 primeiraPalavraA=oiee ultimaPalavraA=oiee primeiraPalavraB=entend ultimaPalavraB=3 mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=7 primeiraPalavraA=amiga ultimaPalavraA=amiga primeiraPalavraB=entend ultimaPalavraB=3 mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=3 ultimaPalavraA=enrol primeiraPalavraB=3 ultimaPalavraB=enrol mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=0 primeiraPalavraA=entend ultimaPalavraA=3 primeiraPalavraB=3 ultimaPalavraB=enrol mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=eu ultimaPalavraA=junt primeiraPalavraB=3 ultimaPalavraB=enrol mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=po ultimaPalavraA=ordem primeiraPalavraB=3 ultimaPalavraB=enrol mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=fiz ultimaPalavraA=jah primeiraPalavraB=3 ultimaPalavraB=enrol mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=4 primeiraPalavraA=2 ultimaPalavraA=2 primeiraPalavraB=3 ultimaPalavraB=enrol mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=5 primeiraPalavraA=q ultimaPalavraA=exercici primeiraPalavraB=3 ultimaPalavraB=enrol mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=6 primeiraPalavraA=consegu ultimaPalavraA=exercici primeiraPalavraB=3 ultimaPalavraB=enrol mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=7 primeiraPalavraA=oiee ultimaPalavraA=oiee primeiraPalavraB=3 ultimaPalavraB=enrol mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=8 primeiraPalavraA=amiga ultimaPalavraA=amiga primeiraPalavraB=3 ultimaPalavraB=enrol mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=heheheh ultimaPalavraA=heheheh primeiraPalavraB=heheheh ultimaPalavraB=heheheh mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=0 primeiraPalavraA=3 ultimaPalavraA=enrol primeiraPalavraB=heheheh ultimaPalavraB=heheheh mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=entend ultimaPalavraA=3 primeiraPalavraB=heheheh ultimaPalavraB=heheheh mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=eu ultimaPalavraA=junt primeiraPalavraB=heheheh ultimaPalavraB=heheheh mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=po ultimaPalavraA=ordem primeiraPalavraB=heheheh ultimaPalavraB=heheheh mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=4 primeiraPalavraA=fiz ultimaPalavraA=jah primeiraPalavraB=heheheh ultimaPalavraB=heheheh mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=5 primeiraPalavraA=2 ultimaPalavraA=2 primeiraPalavraB=heheheh ultimaPalavraB=heheheh mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=6 primeiraPalavraA=q ultimaPalavraA=exercici primeiraPalavraB=heheheh ultimaPalavraB=heheheh mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=7 primeiraPalavraA=consegu ultimaPalavraA=exercici primeiraPalavraB=heheheh ultimaPalavraB=heheheh mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=8 primeiraPalavraA=oiee ultimaPalavraA=oiee primeiraPalavraB=heheheh ultimaPalavraB=heheheh mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=9 primeiraPalavraA=amiga ultimaPalavraA=amiga primeiraPalavraB=heheheh ultimaPalavraB=heheheh mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=oieeee ultimaPalavraA=oieeee primeiraPalavraB=oieeee ultimaPalavraB=oieeee mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB=td ultimaPalavraB=bom mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=0 primeiraPalavraA=oieeee ultimaPalavraA=oieeee primeiraPalavraB=td ultimaPalavraB=bom mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=oie ultimaPalavraB=oie mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=0 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB=oie ultimaPalavraB=oie mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=1 primeiraPalavraA=oieeee ultimaPalavraA=oieeee primeiraPalavraB=oie ultimaPalavraB=oie mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=td ultimaPalavraA=vc primeiraPalavraB=td ultimaPalavraB=vc mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=0 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=td ultimaPalavraB=vc mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=1 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB=td ultimaPalavraB=vc mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=oieeee ultimaPalavraA=oieeee primeiraPalavraB=td ultimaPalavraB=vc mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB=td ultimaPalavraB=bom mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=0 primeiraPalavraA=td ultimaPalavraA=vc primeiraPalavraB=td ultimaPalavraB=bom mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=td ultimaPalavraB=bom mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB=td ultimaPalavraB=bom mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=oieeee ultimaPalavraA=oieeee primeiraPalavraB=td ultimaPalavraB=bom mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=tah ultimaPalavraA=dabm primeiraPalavraB=tah ultimaPalavraB=dabm mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=0 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB=tah ultimaPalavraB=dabm mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=td ultimaPalavraA=vc primeiraPalavraB=tah ultimaPalavraB=dabm mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=tah ultimaPalavraB=dabm mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB=tah ultimaPalavraB=dabm mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=4 primeiraPalavraA=oieeee ultimaPalavraA=oieeee primeiraPalavraB=tah ultimaPalavraB=dabm mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=no ultimaPalavraA=serpr primeiraPalavraB=no ultimaPalavraB=serpr mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=0 primeiraPalavraA=tah ultimaPalavraA=dabm primeiraPalavraB=no ultimaPalavraB=serpr mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB=no ultimaPalavraB=serpr mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=td ultimaPalavraA=vc primeiraPalavraB=no ultimaPalavraB=serpr mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=no ultimaPalavraB=serpr mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=4 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB=no ultimaPalavraB=serpr mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=5 primeiraPalavraA=oieeee ultimaPalavraA=oieeee primeiraPalavraB=no ultimaPalavraB=serpr mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=0 primeiraPalavraA=no ultimaPalavraA=serpr primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=tah ultimaPalavraA=dabm primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=td ultimaPalavraA=vc primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=4 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=5 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=6 primeiraPalavraA=oieeee ultimaPalavraA=oieeee primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=vc ultimaPalavraA=alg primeiraPalavraB=vc ultimaPalavraB=alg mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=0 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB=vc ultimaPalavraB=alg mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=no ultimaPalavraA=serpr primeiraPalavraB=vc ultimaPalavraB=alg mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=tah ultimaPalavraA=dabm primeiraPalavraB=vc ultimaPalavraB=alg mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB=vc ultimaPalavraB=alg mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=4 primeiraPalavraA=td ultimaPalavraA=vc primeiraPalavraB=vc ultimaPalavraB=alg mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=5 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=vc ultimaPalavraB=alg mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=6 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB=vc ultimaPalavraB=alg mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=7 primeiraPalavraA=oieeee ultimaPalavraA=oieeee primeiraPalavraB=vc ultimaPalavraB=alg mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=0 primeiraPalavraA=vc ultimaPalavraA=alg primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=no ultimaPalavraA=serpr primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=tah ultimaPalavraA=dabm primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=4 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=5 primeiraPalavraA=td ultimaPalavraA=vc primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=6 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=7 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=8 primeiraPalavraA=oieeee ultimaPalavraA=oieeee primeiraPalavraB= ultimaPalavraB= mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=pox ultimaPalavraA=for primeiraPalavraB=pox ultimaPalavraB=for mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=0 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB=pox ultimaPalavraB=for mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=vc ultimaPalavraA=alg primeiraPalavraB=pox ultimaPalavraB=for mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA= ultimaPalavraA= primeiraPalavraB=pox ultimaPalavraB=for mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=3 primeiraPalavraA=no ultimaPalavraA=serpr primeiraPalavraB=pox ultimaPalavraB=for mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=4 primeiraPalavraA=tah ultimaPalavraA=dabm primeiraPalavraB=pox ultimaPalavraB=for mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=5 primeiraPalavraA=td ultimaPalavraA=bom primeiraPalavraB=pox ultimaPalavraB=for mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
