parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=oiii ultimaPalavraA=oiii primeiraPalavraB=ja ultimaPalavraB=hj mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=desist ultimaPalavraA=fisic primeiraPalavraB=ja ultimaPalavraB=hj mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=ja ultimaPalavraB=hj mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=vou ultimaPalavraA=tard primeiraPalavraB=vou ultimaPalavraB=tard mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=ja ultimaPalavraA=hj primeiraPalavraB=vou ultimaPalavraB=tard mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=to ultimaPalavraA=pens primeiraPalavraB=vou ultimaPalavraB=tard mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=oiii ultimaPalavraA=oiii primeiraPalavraB=vou ultimaPalavraB=tard mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=desist ultimaPalavraA=fisic primeiraPalavraB=vou ultimaPalavraB=tard mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=vou ultimaPalavraB=tard mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=hunn ultimaPalavraA=hunn primeiraPalavraB=hunn ultimaPalavraB=hunn mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=vou ultimaPalavraA=tard primeiraPalavraB=hunn ultimaPalavraB=hunn mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=ja ultimaPalavraA=hj primeiraPalavraB=hunn ultimaPalavraB=hunn mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=to ultimaPalavraA=pens primeiraPalavraB=hunn ultimaPalavraB=hunn mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=oiii ultimaPalavraA=oiii primeiraPalavraB=hunn ultimaPalavraB=hunn mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=desist ultimaPalavraA=fisic primeiraPalavraB=hunn ultimaPalavraB=hunn mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=hunn ultimaPalavraB=hunn mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=fazed ultimaPalavraA=ai primeiraPalavraB=fazed ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=hunn ultimaPalavraA=hunn primeiraPalavraB=fazed ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=vou ultimaPalavraA=tard primeiraPalavraB=fazed ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=ja ultimaPalavraA=hj primeiraPalavraB=fazed ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=to ultimaPalavraA=pens primeiraPalavraB=fazed ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=oiii ultimaPalavraA=oiii primeiraPalavraB=fazed ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=desist ultimaPalavraA=fisic primeiraPalavraB=fazed ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=fazed ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=to ultimaPalavraA=estagi primeiraPalavraB=to ultimaPalavraB=estagi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=fazed ultimaPalavraA=ai primeiraPalavraB=to ultimaPalavraB=estagi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=hunn ultimaPalavraA=hunn primeiraPalavraB=to ultimaPalavraB=estagi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=vou ultimaPalavraA=tard primeiraPalavraB=to ultimaPalavraB=estagi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=ja ultimaPalavraA=hj primeiraPalavraB=to ultimaPalavraB=estagi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=to ultimaPalavraA=pens primeiraPalavraB=to ultimaPalavraB=estagi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=oiii ultimaPalavraA=oiii primeiraPalavraB=to ultimaPalavraB=estagi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=desist ultimaPalavraA=fisic primeiraPalavraB=to ultimaPalavraB=estagi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=to ultimaPalavraB=estagi mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=eu ultimaPalavraA=rs primeiraPalavraB=eu ultimaPalavraB=rs mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=to ultimaPalavraA=estagi primeiraPalavraB=eu ultimaPalavraB=rs mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=fazed ultimaPalavraA=ai primeiraPalavraB=eu ultimaPalavraB=rs mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=hunn ultimaPalavraA=hunn primeiraPalavraB=eu ultimaPalavraB=rs mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=vou ultimaPalavraA=tard primeiraPalavraB=eu ultimaPalavraB=rs mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=ja ultimaPalavraA=hj primeiraPalavraB=eu ultimaPalavraB=rs mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=to ultimaPalavraA=pens primeiraPalavraB=eu ultimaPalavraB=rs mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=oiii ultimaPalavraA=oiii primeiraPalavraB=eu ultimaPalavraB=rs mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=desist ultimaPalavraA=fisic primeiraPalavraB=eu ultimaPalavraB=rs mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=8 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=eu ultimaPalavraB=rs mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=oiiiiiiiiiiii ultimaPalavraA=d primeiraPalavraB=oiiiiiiiiiiii ultimaPalavraB=d mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=temp ultimaPalavraA=ta primeiraPalavraB=temp ultimaPalavraB=ta mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=oiiiiiiiiiiii ultimaPalavraA=d primeiraPalavraB=temp ultimaPalavraB=ta mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=kkk ultimaPalavraA=serpr primeiraPalavraB=kkk ultimaPalavraB=serpr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=temp ultimaPalavraA=ta primeiraPalavraB=kkk ultimaPalavraB=serpr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=oiiiiiiiiiiii ultimaPalavraA=d primeiraPalavraB=kkk ultimaPalavraB=serpr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=to ultimaPalavraA=pc primeiraPalavraB=to ultimaPalavraB=pc mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=kkk ultimaPalavraA=serpr primeiraPalavraB=to ultimaPalavraB=pc mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=temp ultimaPalavraA=ta primeiraPalavraB=to ultimaPalavraB=pc mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=oiiiiiiiiiiii ultimaPalavraA=d primeiraPalavraB=to ultimaPalavraB=pc mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=vai ultimaPalavraA=ai primeiraPalavraB=vai ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=to ultimaPalavraA=pc primeiraPalavraB=vai ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=kkk ultimaPalavraA=serpr primeiraPalavraB=vai ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=temp ultimaPalavraA=ta primeiraPalavraB=vai ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=oiiiiiiiiiiii ultimaPalavraA=d primeiraPalavraB=vai ultimaPalavraB=ai mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=boa ultimaPalavraA=bjssssssssssssssssssssss primeiraPalavraB=boa ultimaPalavraB=bjssssssssssssssssssssss mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=vai ultimaPalavraA=ai primeiraPalavraB=boa ultimaPalavraB=bjssssssssssssssssssssss mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=to ultimaPalavraA=pc primeiraPalavraB=boa ultimaPalavraB=bjssssssssssssssssssssss mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=kkk ultimaPalavraA=serpr primeiraPalavraB=boa ultimaPalavraB=bjssssssssssssssssssssss mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=temp ultimaPalavraA=ta primeiraPalavraB=boa ultimaPalavraB=bjssssssssssssssssssssss mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=oiiiiiiiiiiii ultimaPalavraA=d primeiraPalavraB=boa ultimaPalavraB=bjssssssssssssssssssssss mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=kkkk ultimaPalavraA=bjos primeiraPalavraB=kkkk ultimaPalavraB=bjos mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=boa ultimaPalavraA=bjssssssssssssssssssssss primeiraPalavraB=kkkk ultimaPalavraB=bjos mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=vai ultimaPalavraA=ai primeiraPalavraB=kkkk ultimaPalavraB=bjos mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=to ultimaPalavraA=pc primeiraPalavraB=kkkk ultimaPalavraB=bjos mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=kkk ultimaPalavraA=serpr primeiraPalavraB=kkkk ultimaPalavraB=bjos mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=temp ultimaPalavraA=ta primeiraPalavraB=kkkk ultimaPalavraB=bjos mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=oiiiiiiiiiiii ultimaPalavraA=d primeiraPalavraB=kkkk ultimaPalavraB=bjos mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=pattttyyy ultimaPalavraA=4 primeiraPalavraB=pattttyyy ultimaPalavraB=4 mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=ser ultimaPalavraA=seman primeiraPalavraB=ser ultimaPalavraB=seman mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=pattttyyy ultimaPalavraA=4 primeiraPalavraB=ser ultimaPalavraB=seman mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=gent ultimaPalavraA=naum primeiraPalavraB=gent ultimaPalavraB=naum mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=ser ultimaPalavraA=seman primeiraPalavraB=gent ultimaPalavraB=naum mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=pattttyyy ultimaPalavraA=4 primeiraPalavraB=gent ultimaPalavraB=naum mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=sim ultimaPalavraA=tb primeiraPalavraB=sim ultimaPalavraB=tb mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=0 primeiraPalavraA=gent ultimaPalavraA=naum primeiraPalavraB=sim ultimaPalavraB=tb mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=ser ultimaPalavraA=seman primeiraPalavraB=sim ultimaPalavraB=tb mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=pattttyyy ultimaPalavraA=4 primeiraPalavraB=sim ultimaPalavraB=tb mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=q ultimaPalavraA=lah primeiraPalavraB=q ultimaPalavraB=lah mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=sim ultimaPalavraA=tb primeiraPalavraB=q ultimaPalavraB=lah mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=gent ultimaPalavraA=naum primeiraPalavraB=q ultimaPalavraB=lah mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=ser ultimaPalavraA=seman primeiraPalavraB=q ultimaPalavraB=lah mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=pattttyyy ultimaPalavraA=4 primeiraPalavraB=q ultimaPalavraB=lah mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=blz ultimaPalavraA=msm primeiraPalavraB=blz ultimaPalavraB=msm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=q ultimaPalavraA=lah primeiraPalavraB=blz ultimaPalavraB=msm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=sim ultimaPalavraA=tb primeiraPalavraB=blz ultimaPalavraB=msm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=gent ultimaPalavraA=naum primeiraPalavraB=blz ultimaPalavraB=msm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=ser ultimaPalavraA=seman primeiraPalavraB=blz ultimaPalavraB=msm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=pattttyyy ultimaPalavraA=4 primeiraPalavraB=blz ultimaPalavraB=msm mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=sab ultimaPalavraA=hra primeiraPalavraB=sab ultimaPalavraB=hra mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=blz ultimaPalavraA=msm primeiraPalavraB=sab ultimaPalavraB=hra mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=q ultimaPalavraA=lah primeiraPalavraB=sab ultimaPalavraB=hra mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=sim ultimaPalavraA=tb primeiraPalavraB=sab ultimaPalavraB=hra mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=gent ultimaPalavraA=naum primeiraPalavraB=sab ultimaPalavraB=hra mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=ser ultimaPalavraA=seman primeiraPalavraB=sab ultimaPalavraB=hra mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=pattttyyy ultimaPalavraA=4 primeiraPalavraB=sab ultimaPalavraB=hra mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=kkk ultimaPalavraA=pq primeiraPalavraB=kkk ultimaPalavraB=pq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=sab ultimaPalavraA=hra primeiraPalavraB=kkk ultimaPalavraB=pq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=blz ultimaPalavraA=msm primeiraPalavraB=kkk ultimaPalavraB=pq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=q ultimaPalavraA=lah primeiraPalavraB=kkk ultimaPalavraB=pq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=sim ultimaPalavraA=tb primeiraPalavraB=kkk ultimaPalavraB=pq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=gent ultimaPalavraA=naum primeiraPalavraB=kkk ultimaPalavraB=pq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=ser ultimaPalavraA=seman primeiraPalavraB=kkk ultimaPalavraB=pq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=pattttyyy ultimaPalavraA=4 primeiraPalavraB=kkk ultimaPalavraB=pq mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=sab ultimaPalavraA=minh primeiraPalavraB=sab ultimaPalavraB=minh mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=kkk ultimaPalavraA=pq primeiraPalavraB=sab ultimaPalavraB=minh mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=sab ultimaPalavraA=hra primeiraPalavraB=sab ultimaPalavraB=minh mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=blz ultimaPalavraA=msm primeiraPalavraB=sab ultimaPalavraB=minh mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=q ultimaPalavraA=lah primeiraPalavraB=sab ultimaPalavraB=minh mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=sim ultimaPalavraA=tb primeiraPalavraB=sab ultimaPalavraB=minh mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=gent ultimaPalavraA=naum primeiraPalavraB=sab ultimaPalavraB=minh mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=ser ultimaPalavraA=seman primeiraPalavraB=sab ultimaPalavraB=minh mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=pattttyyy ultimaPalavraA=4 primeiraPalavraB=sab ultimaPalavraB=minh mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=huuunnn ultimaPalavraA=huuunnn primeiraPalavraB=huuunnn ultimaPalavraB=huuunnn mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=sab ultimaPalavraA=minh primeiraPalavraB=huuunnn ultimaPalavraB=huuunnn mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=kkk ultimaPalavraA=pq primeiraPalavraB=huuunnn ultimaPalavraB=huuunnn mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=sab ultimaPalavraA=hra primeiraPalavraB=huuunnn ultimaPalavraB=huuunnn mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=blz ultimaPalavraA=msm primeiraPalavraB=huuunnn ultimaPalavraB=huuunnn mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=q ultimaPalavraA=lah primeiraPalavraB=huuunnn ultimaPalavraB=huuunnn mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=sim ultimaPalavraA=tb primeiraPalavraB=huuunnn ultimaPalavraB=huuunnn mensagemATemNomeB=false mensagemBTemNomeA=false ?
